wkt_wgs84,x_wgs84,y_wgs84,country,province,district,municipality,postcode,object_type,object_type_name,veracity_score,accessibility,state,otar_id,name,description,wikidata,wikidata_url,wikipedia,wikipedia_url,published
POINT (14.997998 51.018992),14.997998,51.018992,Polska,dolnośląskie,zgorzelecki,Zgorzelec,59-900,K01.20.10,Pałace,good,partial,good,K01.20.10.PJ59QC,Pałac w Kostrzynie,"Pałac w Kostrzynie powstał w 1757 roku jako siedziba rodu von Kyaw. W kolejnych stuleciach był kilkukrotnie przebudowywany, przez co utracił część pierwotnych cech barokowych. Jest to dwukondygnacyjny, podpiwniczony budynek na planie prostokąta, przykryty wysokim dachem czterospadowym z lukarnami. Nad głównym wejściem znajduje się portal z datą budowy oraz herbami rodów von Uechtritz i von Kyaw. W pałacu zachowały się fragmenty dawnego wystroju wnętrz.",Q20033942,https://www.wikidata.org/wiki/Q20033942,pl:Pałac w Kostrzynie,https://pl.wikipedia.org/wiki/Pa%C5%82ac_w_Kostrzynie,2026-08-14
POINT (21.684600169 49.556968983),21.684600169,49.556968983,Polska,podkarpackie,krośnieński,Dukla,38-450,K01.20.10,Pałace,good,full,excellent,K01.20.10.PWAJ2X,Pałac w Dukli,"Początki obecnego założenia sięgają XVI wieku, kiedy powstał pierwszy budynek mieszkalny o charakterze obronnym. Z czasem obiekt został rozbudowany, a jego zabezpieczenia wzmocniono bastionami oraz murami kurtynowymi. Na przestrzeni lat zamek wielokrotnie zmieniał właścicieli. W 1738 roku budowla ucierpiała podczas wielkiego pożaru miasta. Po odbudowie zrezygnowano z elementów obronnych, przekształcając zamek w późnobarokową rezydencję pałacową. W tej formie obiekt zachował się do dziś.",Q30530422,https://www.wikidata.org/wiki/Q30530422,pl:Pałac w Dukli,https://pl.wikipedia.org/wiki/Pa%C5%82ac_w_Dukli,2026-08-14
POINT (18.900805589 50.438836053),18.900805589,50.438836053,Polska,śląskie,tarnogórski,Świerklaniec,42-620,K01.20.10,Pałace,good,full,excellent,K01.20.10.PX2D8P,Pałac Donnersmarcków w Nakle Śląskim,"Pałac Donnersmarcków w Nakle Śląskim wzniesiono w latach 1856–1858, prawdopodobnie na miejscu starszego dworu lub zamku. Neogotycka rezydencja, nawiązująca do angielskiego gotyku Tudorów, została rozbudowana w 1891 r., m.in. przez podwyższenie wieży. Otacza ją rozległy park krajobrazowy. Obecnie pałac jest dobrze zachowany i mieści Centrum Kultury Śląskiej.
",Q11814752,https://www.wikidata.org/wiki/Q11814752,pl:Pałac Donnersmarcków w Nakle Śląskim,https://pl.wikipedia.org/wiki/Pa%C5%82ac_Donnersmarck%C3%B3w_w_Nakle_%C5%9Al%C4%85skim,2026-08-14
POINT (14.879024 53.691436),14.879024,53.691436,Polska,zachodniopomorskie,goleniowski,Przybiernów,72-110,K01.20.10,Pałace,good,limited,fair,K01.20.10.Q8VTYP,Pałac w Łoźnicy,"Pierwsze wzmianki o zamku „Camenz” pochodzą z dokumentu z 1269 roku. Warownia była podzielona pomiędzy księcia oraz biskupa kamieńskiego. Pod koniec XIII wieku obiekt popadł w ruinę i z czasem przestał istnieć. W XVIII wieku na miejscu dawnego zamku wzniesiono pałac, którego ruiny zachowały się do dziś.
",Q33249846,https://www.wikidata.org/wiki/Q33249846,n/a,n/a,2026-08-14
POINT (16.133323217 51.568986812),16.133323217,51.568986812,Polska,dolnośląskie,polkowicki,Grębocice,59-150,K01.20.10,Pałace,good,limited,good,K01.20.10.Q99X53,Pałac w Dużej Wólce,"Renesansowy pałac w Dużej Wólce (dolnośląskie), wzniesiony w 1570 r. z kamienia i cegły dla Georga von Puscha. W XIX w. zyskał dwie oficyny. Nad wejściem zachowała się tablica fundacyjna z herbami. Zabytek czeka na remont. Wnętrza są niedostępne do zwiedzania, ale bryłę można obejrzeć z zewnątrz.",Q19844456,https://www.wikidata.org/wiki/Q19844456,pl:Pałac w Dużej Wólce,https://pl.wikipedia.org/wiki/Pa%C5%82ac_w_Du%C5%BCej_W%C3%B3lce,2026-08-14
POINT (16.503521415 50.513233515),16.503521415,50.513233515,Polska,dolnośląskie,kłodzki,Radków,57-410,K01.20.10,Pałace,good,partial,good,K01.20.10.QDGQ55,Pałac w Ścinawce Średniej,"W Ścinawce Średniej zachował się drugi z miejscowych obiektów zamkowych, określany jako „dobra dolne”. Jego początki sięgają XIV wieku. Wewnątrz założenia znajduje się dawny dziedziniec ze studnią, wokół którego rozmieszczono zabudowania zamkowe. Choć zostały one wielokrotnie przekształcone, zachowały się między innymi renesansowe piwnice.",Q19401179,https://www.wikidata.org/wiki/Q19401179,pl:Pałac w Ścinawce Średniej,https://pl.wikipedia.org/wiki/Pa%C5%82ac_w_%C5%9Acinawce_%C5%9Aredniej,2026-08-14
POINT (16.159900822013928 54.10046324853792),16.159900822013928,54.10046324853792,Polska,zachodniopomorskie,koszaliński,Świeszyno,76-024,K01.20.10,Pałace,good,partial,excellent,K01.20.10.RF595M,Pałac w Strzekęcinie,"Pałac w Strzekęcinie wzniesiono w latach 1899–1901 w stylu neorenesansowym jako okazałą rezydencję z wieżą o romantycznych, zamkowych formach, na miejscu dawnej budowli obronnej. Pałac otoczono rozległym parkiem z tarasami, balustradami i elementami ogrodów klasycystycznych, renesansowych i barokowych. Po 1945 r. obiekt zmieniał funkcje i popadł w ruinę. Obecnie jest odrestaurowany i działa jako hotel Bursztynowy Pałac.",Q33301373,https://www.wikidata.org/wiki/Q33301373,pl:Pałac w Strzekęcinie,https://pl.wikipedia.org/wiki/Pa%C5%82ac_w_Strzek%C4%99cinie,2026-08-14
POINT (22.666895076 49.939656341),22.666895076,49.939656341,Polska,podkarpackie,jarosławski,Chłopice,37-561,K01.20.10,Pałace,good,partial,excellent,K01.20.10.RV8R9E,Pałac w Boratynie,"Zespół pałacowo-parkowy w Boratynie to okazała, klasycystyczna rezydencja. Obiekt ten został wzniesiony bezpośrednio na zrębach i fundamentach późnośredniowiecznego dworu obronnego, funkcjonującego w tym miejscu już w XV stuleciu. Dzięki zachowaniu reliktów dawnej warowni w strukturze nowożytnej budowli, pałac stanowi doskonały przykład przekształcenia obiektu o charakterze militarnym w reprezentacyjną rezydencję mieszkalną.",Q30232299,https://www.wikidata.org/wiki/Q30232299,pl:Pałac w Boratynie,https://pl.wikipedia.org/wiki/Pa%C5%82ac_w_Boratynie,2026-08-14
POINT (15.956767968 50.909280182),15.956767968,50.909280182,Polska,dolnośląskie,jaworski,Bolków,59-420,K01.20.10,Pałace,good,partial,excellent,K01.20.10.S5FUKE,Pałac w Kaczorowie,"Najstarsze informacje dotyczące Kaczorowa pochodzą z 1240 roku. Na przestrzeni wieków miejscowość kilkukrotnie zmieniała swoją nazwę, a jej dzieje były związane z różnymi etapami rozwoju zabudowy rezydencjonalnej. Około 1561 roku powstało tutaj pierwotne założenie obronne  przypuszczalnie dwór lub niewielki zamek. W 1829 roku dawną budowlę przebudowano, nadając jej formę pałacu w stylu eklektycznym. Obecnie obiekt pełni funkcję szkoły podstawowej.",Q11814960,https://www.wikidata.org/wiki/Q11814960,pl:Pałac w Kaczorowie,https://pl.wikipedia.org/wiki/Pa%C5%82ac_w_Kaczorowie,2026-08-14
POINT (17.203984 50.632409),17.203984,50.632409,Polska,dolnośląskie,strzeliński,Przeworno,57-130,K01.20.10,Pałace,good,limited,bad,K01.20.10.SNLJZ7,Pałac w Jagielnie,"W pierwszej połowie XV wieku w Jagielnie wzniesiono zamek, który został zniszczony w 1443 roku. Odbudowany przez rodzinę von Pogrell, w XVII wieku został przebudowany na renesansowy pałac. W kolejnych stuleciach rezydencja była rozbudowywana i zmieniała właścicieli, między innymi należała do rodziny von Ballestrem. Po 1945 roku obiekt popadał w ruinę i został ostatecznie opuszczony. Obecnie zachowały się głównie fragmenty murów pałacu, otoczone fosą i parkiem.",Q19401123,https://www.wikidata.org/wiki/Q19401123,pl:Pałac w Jagielnie,https://pl.wikipedia.org/wiki/Pa%C5%82ac_w_Jagielnie,2026-08-14
POINT (16.459373299 51.372371529),16.459373299,51.372371529,Polska,dolnośląskie,lubiński,Ścinawa,59-330,K01.20.10,Pałace,fair,limited,poor,K01.20.10.SY55XH,Pałac w Dziewinie,"Pierwsze wzmianki o książęcej warowni pochodzą już z 1250 roku. Na przestrzeni wieków obiekt wielokrotnie przechodził w ręce kolejnych właścicieli. W latach 1558-1566 dawny zamek został przekształcony w renesansowy dwór, który następnie rozbudowano około 1700 roku. Kolejne zmiany wprowadzono w latach 1860-1889. Budowla została zniszczona w 1945 roku i do dziś pozostaje w stanie trwałej ruiny.",Q24944267,https://www.wikidata.org/wiki/Q24944267,pl:Pałac w Dziewinie,https://pl.wikipedia.org/wiki/Pa%C5%82ac_w_Dziewinie,2026-08-14
POINT (17.232064281 52.014040109),17.232064281,52.014040109,Polska,wielkopolskie,śremski,Książ Wielkopolski,63-130,K01.20.10,Pałace,good,limited,good,K01.20.10.U2FNXG,Pałac w Mchach,"Klasycystyczny pałac w Mchach (woj. wielkopolskie) wzniesiony pod koniec XVIII w. Otoczony zabytkowym parkiem krajobrazowym. Ponieważ zabytek znajduje się obecnie w rękach prywatnych, jego wnętrza nie są udostępnione do zwiedzania. Bryłę można podziwiać z zewnątrz.",Q33136595,https://www.wikidata.org/wiki/Q33136595,pl:Dwór w Mchach,https://pl.wikipedia.org/wiki/Dw%C3%B3r_w_Mchach,2026-08-14
POINT (18.082607082 50.137083095),18.082607082,50.137083095,Polska,śląskie,raciborski,Pietrowice Wielkie,47-480,K01.20.10,Pałace,fair,partial,good,K01.20.10.U52UEK,Pałac w Krowiarkach,"Początki tutejszej rezydencji sięgają 1678 roku, kiedy rodzina Beess wzniosła pierwszy, drewniany dwór obronny. Obecny wygląd zawdzięcza przebudowie w latach 1852–1877 kiedy rozbudowano rezydencję i założono park, a pod koniec XIX w. dodano m.in. skrzydło secesyjne z elementami neorenesansu i neobaroku. Charakterystycznym elementem jest czteroboczna wieża z dekoracyjnym hełmem. Obecnie pałac jest niezamieszkany i stopniowo popada w ruinę.
",Q540596,https://www.wikidata.org/wiki/Q540596,pl:Zespół pałacowo-parkowy w Krowiarkach,https://pl.wikipedia.org/wiki/Zesp%C3%B3%C5%82_pa%C5%82acowo-parkowy_w_Krowiarkach,2026-08-14
POINT (21.684725155 54.1323776),21.684725155,54.1323776,Polska,warmińsko-mazurskie,węgorzewski,Węgorzewo,11-600,K01.20.10,Pałace,good,partial,good,K01.20.10.UCZ5RQ,Pałac w Sztynorcie,"Pałac w Sztynorcie był siedzibą rodu von Lehndorff, który władał tutejszymi dobrami od XV wieku aż do 1944 roku. Pierwsze zamki wznoszone przez rodzinę ulegały zniszczeniu, a obecny pałac powstał pod koniec XVII wieku. Rezydencja stanowi część rozległego zespołu pałacowo-folwarcznego z parkiem, oficynami, kaplicą i zabudowaniami gospodarczymi. W czasie II wojny światowej pałac został przejęty przez Ministerstwo Spraw Zagranicznych III Rzeszy.",Q32053037,https://www.wikidata.org/wiki/Q32053037,pl:Pałac w Sztynorcie,https://pl.wikipedia.org/wiki/Pa%C5%82ac_w_Sztynorcie,2026-08-14
POINT (21.100605426 50.597064377),21.100605426,50.597064377,Polska,świętokrzyskie,staszowski,Staszów,28-200,K01.20.10,Pałace,good,full,excellent,K01.20.10.UUNW49,Pałac w Kurozwękach,"Warownię wzniósł ród Kurozwęckich w drugiej połowie XIV wieku. W XV stuleciu została rozbudowana i dodatkowo ufortyfikowana. W kolejnych wiekach obiekt stopniowo zmieniał swój charakter  w XVII i XVIII wieku przekształcono go w rezydencję pałacową, najpierw w stylu barokowym, a następnie klasycystycznym. Obecnie zamek pozostaje własnością prywatną. Budowla zachowała się w bardzo dobrym stanie, a w 2003 roku przeszła prace renowacyjne.",Q6446458,https://www.wikidata.org/wiki/Q6446458,pl:Pałac w Kurozwękach,https://pl.wikipedia.org/wiki/Pa%C5%82ac_w_Kurozw%C4%99kach,2026-08-14
POINT (18.759059222 50.416923524),18.759059222,50.416923524,Polska,śląskie,tarnogórski,Zbrosławice,42-674,K01.20.10,Pałace,good,partial,good,K01.20.10.UXKKF9,Pałac w Zbrosławicach,"Pałac w Zbrosławicach wzniesiono około 1756 r. dla rodziny von Stockmannów, przypuszczalnie na miejscu starszej budowli z XVI–XVII w. Pierwotnie późnobarokowy, po przebudowach uzyskał formy klasycystyczne. Jest piętrową, podpiwniczoną budowlą na planie prostokąta, z oficyną i dachem mansardowym; w piwnicach zachowały się sklepienia kolebkowe z lunetami. Obecnie pałac pozostaje w złym stanie technicznym.",Q24945545,https://www.wikidata.org/wiki/Q24945545,pl:Pałac w Zbrosławicach,https://pl.wikipedia.org/wiki/Pa%C5%82ac_w_Zbros%C5%82awicach,2026-08-14
POINT (22.3933728 49.821907262),22.3933728,49.821907262,Polska,podkarpackie,przemyski,Dubiecko,37-750,K01.20.10,Pałace,good,partial,excellent,K01.20.10.VFPFUW,Pałac Krasickich w Dubiecku,"Pałac Krasickich w Dubiecku powstał z przebudowy zamku. Pierwotna warownia została wzniesiona w XVI wieku i od 1588 roku należała do rodu Krasickich. Po pożarze w XVIII wieku zamek przebudowano na barokową rezydencję, a następnie nadano mu klasycystyczny wygląd. W pałacu w 1735 roku urodził się Ignacy Krasicki  poeta, biskup warmiński i jeden z najwybitniejszych twórców polskiego oświecenia.",Q30552088,https://www.wikidata.org/wiki/Q30552088,pl:Zespół pałacowy Krasickich w Dubiecku,https://pl.wikipedia.org/wiki/Zesp%C3%B3%C5%82_pa%C5%82acowy_Krasickich_w_Dubiecku,2026-08-14
POINT (16.587717612 50.829388615),16.587717612,50.829388615,Polska,dolnośląskie,świdnicki,Świdnica,58-100,K01.20.10,Pałace,fair,limited,bad,K01.20.10.VX4BRC,Pałac w Gogołowie,"Historia tego miejsca zaczyna się od myśliwskiej siedziby książąt świdnickich. W 1538 roku na jej miejscu powstał renesansowy dwór, który w późniejszych okresach był wielokrotnie przekształcany. Dawna rezydencja obecnie pozostaje opuszczona i stopniowo popada w ruinę. W 1894 roku w miejscu wcześniejszego dworu myśliwskiego i renesansowej siedziby wzniesiono pałac.",Q20033926,https://www.wikidata.org/wiki/Q20033926,pl:Pałac w Gogołowie,https://pl.wikipedia.org/wiki/Pa%C5%82ac_w_Gogo%C5%82owie,2026-08-14
POINT (15.992687134 51.855615789),15.992687134,51.855615789,Polska,lubuskie,wschowski,Sława,67-410,K01.20.10,Pałace,good,partial,excellent,K01.20.10.VYN5GP,Pałacyk Myśliwski w Tarnowie Jeziernym,"Na wzgórzu położonym nad Jeziorem Tarnowskim już w XIII wieku znajdował się gród kasztelański należący do książąt głogowskich. W kolejnym stuleciu wzniesiono tutaj zamek książęcy, który został zniszczony w 1381 roku. W XIX wieku na miejscu dawnej warowni powstała nowa rezydencja  pałac myśliwski.",Q30136091,https://www.wikidata.org/wiki/Q30136091,n/a,n/a,2026-08-14
POINT (16.893786985 50.614902567),16.893786985,50.614902567,Polska,dolnośląskie,ząbkowicki,Ząbkowice Śląskie,57-200,K01.20.10,Pałace,good,limited,good,K01.20.10.W69M4G,Pałac w Sieroszowie,"Pałac w Sieroszowie powstał na początku XVIII wieku jako letnia rezydencja opatów z Henrykowa. Wzniesiono go w latach 1703-1710 w stylu barokowym, prawdopodobnie według projektu M. Kirchbergera. Wcześniej w tym miejscu znajdował się średniowieczny zamek, który po zniszczeniu został zastąpiony pałacem. Po sekularyzacji zakonów majątek przeszedł w ręce prywatne, a następnie po II wojnie światowej został przejęty przez państwo i użytkowany przez PGR.",Q19401162,https://www.wikidata.org/wiki/Q19401162,pl:Pałac w Sieroszowie,https://pl.wikipedia.org/wiki/Pa%C5%82ac_w_Sieroszowie,2026-08-14
POINT (20.627708543 50.869024654),20.627708543,50.869024654,Polska,świętokrzyskie,Kielce,Kielce,25-010,K01.20.10,Pałace,good,full,excellent,K01.20.10.WCQ7NJ,Pałac Biskupów Krakowskich w Kielcach,"Pałac Biskupów Krakowskich w Kielcach wzniesiono w latach 1637–1644 jako barokową rezydencję biskupią o cechach reprezentacyjnych i obronnych. Czteroskrzydłowe założenie z dziedzińcem flankują narożne wieże, a fasadę zdobią loggie i kamieniarka. Pałac powstał w obrębie wcześniejszego zespołu biskupiego. Obecnie jest bardzo dobrze zachowany, mieści Muzeum Narodowe w Kielcach i jest udostępniony zwiedzającym.",Q586771,https://www.wikidata.org/wiki/Q586771,pl:Pałac Biskupów Krakowskich w Kielcach,https://pl.wikipedia.org/wiki/Pa%C5%82ac_Biskup%C3%B3w_Krakowskich_w_Kielcach,2026-08-14
POINT (18.711962621 50.403863987),18.711962621,50.403863987,Polska,śląskie,tarnogórski,Zbrosławice,42-674,K01.20.10,Pałace,good,partial,excellent,K01.20.10.WMKRSP,Pałac w Kamieńcu,"Pałac w Kamieńcu powstał na zrębach wcześniejszego renesansowego zamku z XVI w. Na początku XVIII w. został przebudowany w stylu barokowym jako dwukondygnacyjna rezydencja z dachem mansardowym. W latach 1872–1873 otrzymał formy neorenesansowe, a przebudowa z 1910 r. nadała mu obecny neobarokowy charakter. Bryłę wyróżniają ryzality, wysokie szczyty oraz narożne wieże zwieńczone dekoracyjnymi hełmami.",Q11814962,https://www.wikidata.org/wiki/Q11814962,pl:Pałac w Kamieńcu (województwo śląskie),https://pl.wikipedia.org/wiki/Pa%C5%82ac_w_Kamie%C5%84cu_%28wojew%C3%B3dztwo_%C5%9Bl%C4%85skie%29,2026-08-14
POINT (16.79828187963105 51.007174743528836),16.79828187963105,51.007174743528836,Polska,dolnośląskie,wrocławski,Kąty Wrocławskie,55-080,K01.20.10,Pałace,good,limited,excellent,K01.20.10.WPUNPF,Pałac w Krobielowicach,"Pałac w Krobielowicach powstał z wcześniejszej siedziby obronnej, którą w kolejnych stuleciach rozbudowywano i przekształcano w rezydencję pałacową. Obecną formę uzyskał głównie w XVIII–XIX w., z reprezentacyjnym korpusem, skrzydłami i rozległym założeniem parkowym. W architekturze widoczne są elementy barokowe i klasycystyczne. Obecnie pałac jest odrestaurowany i pełni funkcje hotelowe oraz konferencyjne.",Q5086737,https://www.wikidata.org/wiki/Q5086737,pl:Pałac w Krobielowicach,https://pl.wikipedia.org/wiki/Pa%C5%82ac_w_Krobielowicach,2026-08-30
POINT (16.282176751 50.762111905),16.282176751,50.762111905,Polska,dolnośląskie,Wałbrzych,Wałbrzych,58-300,K01.20.10,Pałace,good,partial,excellent,K01.20.10.X5196D,Pałac Czettritzów w Wałbrzychu,"Renesansowa rezydencja, wzniesiona w latach 1606-1628 przez Dipranda von Czettritz na miejscu wcześniejszego zamku, rozbudowana w 1857 r. i przekształcona w siedzibę administracyjną książąt pszczyńskich. W latach 1882–1883 obiekt gruntownie przebudowano. Stanowi część rozległego zespołu obejmującego park, zabudowania folwarczne, budynek oficjalistów, dawną stajnię i wozownię oraz willę księżnej Daisy. Obecnie pełni funkcje edukacyjne.",Q19366327,https://www.wikidata.org/wiki/Q19366327,pl:Zamek Czettritzów w Wałbrzychu,https://pl.wikipedia.org/wiki/Zamek_Czettritz%C3%B3w_w_Wa%C5%82brzychu,2026-08-14
POINT (22.757847 51.356664),22.757847,51.356664,Polska,lubelskie,łęczyński,Spiczyn,21-077,K01.20.10,Pałace,good,full,poor,K01.20.10.XJMGFW,Pałac Miączyńskich w Zawieprzycach,"Ruiny pałacu w Zawieprzycach powstały na miejscu dawnego zamku, którego początki sięgają XVI wieku. Pierwotną rezydencję wzniósł Andrzej Zawieprzycki, a w XVII wieku przebudowano ją według projektu Tylmana z Gameren dla rodu Miączyńskich. Pałac został zniszczony podczas wojen XVII wieku, a po pożarze w 1983 roku popadł w całkowitą ruinę.",Q30099831,https://www.wikidata.org/wiki/Q30099831,n/a,n/a,2026-08-14
POINT (15.815200916 50.82408073),15.815200916,50.82408073,Polska,dolnośląskie,karkonoski,Mysłakowice,58-533,K01.20.10,Pałace,good,partial,good,K01.20.10.XKFTTT,Pałac w Bukowcu,"W drugiej połowie XVI wieku w Bukowcu powstał renesansowy dwór obronny otoczony fosą. Przez kolejne stulecia majątek wielokrotnie zmieniał właścicieli, a w XVIII wieku obiekt był stopniowo rozbudowywany. Największa przemiana nastąpiła pod koniec XVIII wieku, kiedy Friedrich Wilhelm von Reden przebudował dawną siedzibę w klasycystyczny pałac. W tym samym czasie założono rozległy park krajobrazowy w stylu angielskim, tworzący wraz z rezydencją romantyczny zespół pałacowo-parkowy.",Q11814925,https://www.wikidata.org/wiki/Q11814925,pl:Pałac w Bukowcu,https://pl.wikipedia.org/wiki/Pa%C5%82ac_w_Bukowcu,2026-08-14
POINT (16.61828434883123 51.719941278087795),16.61828434883123,51.719941278087795,Polska,dolnośląskie,górowski,Góra,56-200,K01.20.10,Pałace,good,limited,bad,K01.20.10.XQ7RNW,Pałac w Czerninie,"Pałac w Czerninie wzniesiono w XVIII w. jako opbronną rezydencję szlachecką, później przebudowywaną. Budowla ma prostokątny rzut, dwie kondygnacje i reprezentacyjny charakter, a jej otoczenie tworzy dawny zespół rezydencjonalny. W wyniku późniejszych przekształceń część pierwotnych cech stylowych uległa zatarciu. Obecnie pałac zachował się jako obiekt zabytkowy, lecz jego stan wymaga dalszej ochrony i prac konserwatorskich.",Q9386620,https://www.wikidata.org/wiki/Q9386620,pl:Pałac w Czernienie,https://pl.wikipedia.org/wiki/Pa%C5%82ac_w_Czernienie,2026-08-14
POINT (16.817346303 51.337166183),16.817346303,51.337166183,Polska,dolnośląskie,trzebnicki,Oborniki Śląskie,55-120,K01.20.10,Pałace,good,partial,excellent,K01.20.10.XSGHEB,Pałac i klasztor salwatorianów w Bagnie,"Pałac „Stary Zamek” z 1734 r., ob. klasztor salwatorianów powstał na początku XVIII wieku na miejscu średniowiecznej warowni księcia Konrada II z XIII wieku, zniszczonej podczas wojny trzydziestoletniej. Barokową rezydencję wzniósł hr. Henryk Leopold von Seher-Thos. W 1913 roku obiekt rozbudowano o neobarokowe skrzydło zwane Nowym Zamkiem. Od 1930 roku pałac należy do salwatorianów, a od 1953 mieści Wyższe Seminarium Duchowne i klasztor. Zespół otacza zabytkowy park z cennym drzewostanem.",Q19401087,https://www.wikidata.org/wiki/Q19401087,pl:Pałac i klasztor salwatorianów w Bagnie,https://pl.wikipedia.org/wiki/Pa%C5%82ac_i_klasztor_salwatorian%C3%B3w_w_Bagnie,2026-08-14
POINT (22.00409184 50.047469926),22.00409184,50.047469926,Polska,podkarpackie,Rzeszów,Rzeszów,35-241,K01.20.10,Pałace,good,partial,good,K01.20.10.XZ5EYE,Pałac Jędrzejowiczów w Rzeszowie,"Pałac Jędrzejowiczów w Rzeszowie powstał w latach 1879–1883 poprzez przebudowę starszego, XVIII-wiecznego dworu w Staromieściu według projektu Tadeusza Stryjeńskiego. Rezydencja ma trzy kondygnacje i formy historyzujące z elementami secesyjnymi. Wcześniej w tym miejscu funkcjonował dwór poprzedzony fortyfikacją z bramą. Obecnie pałac należy do województwa podkarpackiego i pozostaje użytkowany przez placówki medyczne.",Q11814778,https://www.wikidata.org/wiki/Q11814778,pl:Pałac Jędrzejowiczów w Rzeszowie,https://pl.wikipedia.org/wiki/Pa%C5%82ac_J%C4%99drzejowicz%C3%B3w_w_Rzeszowie,2026-08-14
POINT (17.790537 50.742033),17.790537,50.742033,Polska,opolskie,opolski,Dąbrowa,49-120,K01.20.10,Pałace,good,limited,excellent,K01.20.10.YA6TQ3,Pałac w Naroku,"Neogotycki pałac w stylu angielsko-bizantyjskim z 1865 r. (pierwsze wzmianki o rezydencji z XVIII w.), położony w Naroku, wpisany do rejestru zabytków. Pierwsza rezydencja wzniesiona w 2. połowie XVIII w. przez hrabinę Luisę Eleonorę von Bees z domu von Skerbrnsky; w 1783 r. właścicielem major gwardii królewskiej Gottlob Albrecht von Saurma z Sadowic.",Q30227813,https://www.wikidata.org/wiki/Q30227813,pl:Pałac w Naroku,https://pl.wikipedia.org/wiki/Pa%C5%82ac_w_Naroku,2026-08-14
POINT (16.524640259 50.949140759),16.524640259,50.949140759,Polska,dolnośląskie,świdnicki,Żarów,58-130,K01.20.10,Pałace,good,limited,good,K01.20.10.YE8Q39,Pałac w Mrowinach,"W Mrowinach pałac powstał w miejscu wcześniejszego średniowiecznego zamku nawodnego należącego do rycerza Tyzcho von Muschow. Pierwotna siedziba była wielokrotnie przebudowywana, między innymi w XVI wieku, a obecny wygląd rezydencja uzyskała w latach 1870-1871 podczas przebudowy w stylu neorenesansowym. Obecnie nieużytkowany pałac pozostaje własnością prywatną i stopniowo niszczeje. Budowlę otacza park krajobrazowy.",Q19632312,https://www.wikidata.org/wiki/Q19632312,pl:Pałac w Mrowinach,https://pl.wikipedia.org/wiki/Pa%C5%82ac_w_Mrowinach,2026-08-14
POINT (17.807455034 50.303066825),17.807455034,50.303066825,Polska,opolskie,głubczycki,Głubczyce,48-118,K01.20.10,Pałace,good,partial,excellent,K01.20.10.YFPYH1,Pałac w Klisinie,"Pałac w Klisinie powstał pod koniec XVI w. jako renesansowa rezydencja wzniesiona na miejscu starszego dworu obronnego. Po pożarze w 1758 r. odbudowano go w stylu barokowym. Jest to czteroskrzydłowa, murowana budowla z wewnętrznym dziedzińcem, zróżnicowana wysokościowo na dwie i trzy kondygnacje. Elewacje zdobią ryzality, pilastry, boniowanie i dekoracyjne naczółki. Pałac otacza XIX-wieczny park krajobrazowy.",Q86685961,https://www.wikidata.org/wiki/Q86685961,pl:Pałac w Klisinie,https://pl.wikipedia.org/wiki/Pa%C5%82ac_w_Klisinie,2026-08-14
POINT (21.586323270074075 51.70368724157654),21.586323270074075,51.70368724157654,Polska,mazowieckie,garwoliński,Maciejowice,08-480,K01.20.10,Pałace,fair,partial,good,K01.20.10.YH6AVE,Pałac w Podzamczu,"W 1557 roku Zygmunt August nadał Maciejowicom prawa magdeburskie, które umożliwiły między innymi wzniesienie zamku. Dawna warownia posiadała obronne mury oraz dwie baszty. W XVII wieku na jej miejscu powstała klasycystyczna rezydencja pałacowa. Podczas bitwy maciejowickiej w 1794 roku pałac został zniszczony, jednak na początku XIX wieku odbudowano go dla rodu Zamoyskich. W kolejnych latach obiekt był jeszcze kilkukrotnie przekształcany.",Q30070135,https://www.wikidata.org/wiki/Q30070135,n/a,n/a,2026-08-14
POINT (19.200797664 49.687531339),19.200797664,49.687531339,Polska,śląskie,żywiecki,Żywiec,34-300,K01.20.10,Pałace,good,partial,excellent,K01.20.10.YZ976J,Pałac Habsburgów w Żywcu,"Pałac Habsburgów w Żywcu, nazywany Nowym Zamkiem, powstał w latach 1871 - 1885 według projektu Karola Pietschki, z inicjatywy arcyksięcia Albrechta. Wzniesiono go w miejscu dawnych oficyn zamku Wielopolskich, z których do dziś zachował się jeden budynek. Rezydencja była kilkukrotnie rozbudowywana, zyskując nowe skrzydła oraz reprezentacyjne wnętrza. Klasycystyczny pałac przez lata pełnił funkcję siedziby rodu Habsburgów, a po II wojnie światowej mieściła się tu szkoła.",Q11793951,https://www.wikidata.org/wiki/Q11793951,pl:Pałac Habsburgów w Żywcu,https://pl.wikipedia.org/wiki/Pa%C5%82ac_Habsburg%C3%B3w_w_%C5%BBywcu,2026-08-14
