object_type,name,country,province,district,municipality,post_code,nearest_address,state,accessibility,veracity_score,description,wikipedia,wikidata
K01.20.30 - Dwory inne,Kwiatów,Polska,dolnośląskie,złotoryjski,Złotoryja,59-500,"dolnośląskie, złotoryjski, Złotoryja, Kwiatów 1",,,,,,
K01.20.30 - Dwory inne,Miechów,Polska,dolnośląskie,górowski,Niechlów,56-215,"dolnośląskie, górowski, Niechlów, Miechów 33",,,,,,
K01.30.10 - Zamki,Ruina Zamku w Gościszowie,Polska,dolnośląskie,bolesławiecki,Nowogrodziec,59-730,"dolnośląskie, bolesławiecki, Nowogrodziec, Gościszów 156",fair,partial,good,"Zamek w Gościszowie (województwo dolnośląskie, powiat bolesławiecki) to jeden z najbardziej fascynujących, a zarazem tragicznych przykładów architektury rezydencjonalno-obronnej w regionie. Ta dawna, monumentalna warownia wodna na przestrzeni wieków przekształciła się w okazały pałac renesansowy, by po II wojnie światowej popaść w zapomnienie.

Początki murowanego zamku sięgają końca XIII wieku (około 1290 roku) i wiążą się z inicjatywą księcia jaworsko-świdnickiego Bolka I Surowego. Warownia miała strzec granic księstwa. Na początku XIV wieku obiekt przeszedł w ręce prywatne, stając się gniazdem rodowym wpływowej śląskiej rodziny von Bibrstein. W XVI wieku zamek przeszedł spektakularną metamorfozę – nowi właściciele wznieśli wokół średniowiecznego rdzenia okazałe, renesansowe skrzydła pałacowe z bogato zdobionymi krużgankami. Przez kolejne stulecia posiadłość należała do rodu von Promnitz i hrabiów von Solms-Tecklenburg. Zamek przetrwał w doskonałym stanie aż do 1945 roku. Pod koniec II wojny światowej został podpalony przez wojska radzieckie i doszczętnie splądrowany, od tamtej pory pozostając w ruinie.

Konstrukcja zamku należała do rzadkich na Śląsku założeń na planie regularnego koła. Średniowieczny, gotycki zamek wysoki otoczony był głęboką, nawodnioną fosą zasilaną przez lokalne potoki. Podczas XVI-wiecznej rozbudowy powstał unikalny, dwupiętrowy pałac z wewnętrznym dziedzińcem, do którego prowadził kamienny most. Elewacje zdobione były kunsztowną dekoracją sgraffitową oraz renesansowymi kamiennymi portalami.

Współcześnie zamek w Gościszowie to trwała, niezabezpieczona ruina, która mimo zniszczeń wciąż budzi ogromny zachwyt swoją skalą. Do dziś czytelny jest kolisty układ fosy, przetrwały wysokie ściany skrzydeł pałacowych, fragmenty renesansowych kamieniarskich detali okiennych oraz potężne, sklepione piwnice. Obiekt znajduje się w rękach prywatnych, a jego zwiedzanie z bliska jest utrudnione, jednak monumentalna sylwetka ruin doskonale prezentuje się z zewnątrz.",pl:Zamek w Gościszowie,Q9386640
K01.20.30 - Dwory inne,Szczecin III,Polska,zachodniopomorskie,Szczecin,Szczecin,71-346,"zachodniopomorskie, Szczecin, Szczecin, Szczecin, Międzyparkowa 12a",,,,,,
K01.20.30 - Dwory inne,Dworek Floriana Zarzeckiego Wierobie,Polska,podlaskie,białostocki,Gródek,16-040,"podlaskie, białostocki, Gródek, Wierobie 25",,,,,,
K01.20.30 - Dwory inne,Chomentowo,Polska,podlaskie,łomżyński,Śniadowo,18-411,"podlaskie, łomżyński, Śniadowo, Chomentowo 41",,,,,,
K01.20.30 - Dwory inne,Szczepankowo,Polska,podlaskie,łomżyński,Śniadowo,18-411,"podlaskie, łomżyński, Śniadowo, Szczepankowo 10",,,,,,
K01.20.30 - Dwory inne,Bielsko Biała - Dwór Pod Grodziskiem,Polska,śląskie,Bielsko-Biała,Bielsko-Biała,43-300,"śląskie, Bielsko-Biała, Bielsko-Biała, Bielsko-Biała, Pod Grodziskiem 9",,,,,,
K01.30.10 - Zamki,Stary Zamek w Żywcu,Polska,śląskie,żywiecki,Żywiec,34-300,"śląskie, żywiecki, Żywiec, Żywiec, Zamkowa 2",excellent,full,good,"Stary Zamek w Żywcu to jedna z najcenniejszych pereł architektonicznych Małopolski, malowniczo położona w sercu zabytkowego parku zamkowego. Jego początki sięgają pierwszej połowy XIV wieku, kiedy to wzniesiono tu pierwszą, gotycką warownię obronną mającą chronić szlaki handlowe. Zamek wielokrotnie zmieniał właścicieli, co bezpośrednio wpłynęło na jego bogatą strukturę architektoniczną.

Kluczowy wpływ na obecny wygląd rezydencji miała magnacka rodzina Komorowskich, która w XVI wieku dokonała monumentalnej przebudowy obiektu. Nadano mu wówczas charakter renesansowego zamku obronnego. Wizytówką tego okresu, zachwycającą do dziś, jest przepiękny, arkadowy dziedziniec. Ze względu na swoje wyjątkowe walory artystyczne, architektoniczną lekkość oraz harmonijne proporcje, bywa on często nazywany „małym Wawelem”.

W kolejnych stuleciach zamek przeszedł w ręce rodu Wielopolskich, a w XIX wieku stał się własnością żywieckiej linii Habsburgów. Choć nowi właściciele wznieśli w pobliżu nową, bardziej nowoczesną rezydencję (tzw. Nowy Zamek), Stary Zamek nadal pełnił ważne funkcje reprezentacyjne i gospodarcze, zyskując przy tym neogotyckie elementy wykończenia.

Dziś ten historyczny kompleks jest siedzibą Muzeum Miejskiego w Żywcu. Odwiedzający mogą tu odbyć fascynującą podróż w czasie, zwiedzając m.in. stałą ekspozycję etnograficzną poświęconą kulturze i tradycjom górali żywieckich oraz mieszczan. W salach zamkowych podziwiać można także bogate zbiory sztuki sakralnej, rzemiosła artystycznego, archeologii oraz wystawy historyczne dokumentujące burzliwe dzieje Żywiecczyzny. Otoczony wiekowymi drzewami park krajobrazowy, w którym znajduje się zamek, tworzy wyjątkową enklawę spokoju i sprawia, że jest to jedno z najchętniej odwiedzanych miejsc w regionie.
",pl:Stary Zamek w Żywcu,Q9344377
K01.30.10 - Zamki,Relikty strażnicy w Przewodziszowicach,Polska,śląskie,myszkowski,Żarki,42-310,"śląskie, myszkowski, Żarki, Żarki, Leśniowska 172",poor,partial,good,"Wznoszące się na monumentalnej, pionowej skale wapiennej ruiny strażnicy w Przewodziszowicach (obecnie dzielnica miasta Żarki, województwo śląskie, powiat myszkowski) to jeden z najbardziej spektakularnych, a zarazem zagadkowych obiektów obronnych na Szlaku Orlich Gniazd. Ta skrajnie niedostępna, jurajska fortalicja powstała w drugiej połowie XIV wieku, najprawdopodobniej z inicjatywy króla Kazimierza Wielkiego lub księcia śląskiego Władysława Opolczyka. Jej kluczowym zadaniem było wzmocnienie systemu obronnego polsko-śląskiego pogranicza oraz ochrona pobliskich szlaków handlowych.

Zamek dzielił burzliwe losy regionu i według podań w XV wieku stał się siedzibą rycerza-rozbójnika Gabriela Wyszla, który z wysokiej skały napadał na kupieckie karawany, grzebiąc ponoć swoje skarby w okolicznych jaskiniach. Warownia została opuszczona prawdopodobnie jeszcze pod koniec XV wieku i od tamtej pory zaczęła systematycznie popadać w ruinę, dzieląc los wielu innych mniejszych jurajskich strażnic.

Architektura i konstrukcja
Konstrukcja strażnicy stanowiła genialny przykład symbiozy średniowiecznej inżynierii z surową, naturalną rzeźbą terenu Jury Krakowsko-Częstochowskiej. Obiekt wybudowano z miejscowego, łamanego kamienia wapiennego bezpośrednio na szczycie potężnego ostańca skalnego, zwanego dziś Skałą Strażnica. Na wierzchołku skały wzniesiono niewielki, murowany budynek mieszkalno-obronny o charakterze wieżowym, do którego dostęp był możliwy wyłącznie za pomocą wysokich, drewnianych drabin lub specjalnego pomostu zwodzonego, co czyniło go obiektem niemal niemożliwym do zdobycia podczas tradycyjnego szturmu. U stóp skały znajdowało się otoczone drewniano-ziemną palisadą lub wałem podzamcze, gdzie mieściły się stajnie oraz zaplecze gospodarcze, a całość od najłatwiej dostępnej strony odcinała fosa oraz system umocnień ziemnych.

Stan zachowania i znaczenie współczesne
Współcześnie strażnica w Przewodziszowicach zachowała się w formie skromnych, ale niezwykle malowniczych reliktów architektonicznych. Do naszych czasów na samym szczycie niedostępnej skały przetrwał wyraźny fragment murowanej ściany obronnej o długości kilkunastu metrów oraz grubości dochodzącej do blisko dwóch metrów. U podnóża ostańca doskonale czytelne są także zarysy dawnego podzamcza z resztkami wałów ziemnych i fosy.

Skała Strażnica jest dziś niezwykle popularna wśród wspinaczy skałkowych, którzy wytyczyli na jej pionowych, ubezpieczonych ścianach kilkadziesiąt dróg wspinaczkowych o różnym stopniu trudności. Przez teren dawnej warowni przebiega kilka popularnych szlaków turystycznych, w tym niebieski Szlak Warowni Jurajskich oraz liczne ścieżki rowerowe, a samo miejsce urzeka surowym pięknem przyrody i kompletnym brakiem komercyjnej zabudowy.",pl:Strażnica Przewodziszowice,Q9346581
K01.20.20 - Dwory szlacheckie,Jastrzębie-Zdrój,Polska,śląskie,Jastrzębie-Zdrój,Jastrzębie-Zdrój,44-336,"śląskie, Jastrzębie-Zdrój, Jastrzębie-Zdrój, Jastrzębie-Zdrój, Rolnicza 5",,,,,,
K01.20.30 - Dwory inne,Rudziczka,Polska,śląskie,pszczyński,Suszec,43-267,"śląskie, pszczyński, Suszec, Rudziczka, Szkolna 57",,,,,,
K01.20.10 - Pałace,Zespół pałacowo-parkowy w Krowiarkach,Polska,śląskie,raciborski,Pietrowice Wielkie,47-480,"śląskie, raciborski, Pietrowice Wielkie, Krowiarki, Zamkowa 2",good,partial,fair,"Początki tutejszej rezydencji sięgają 1678 roku, kiedy rodzina Beess wzniosła pierwszy, drewniany zamek. W późniejszym czasie w jego miejscu powstała murowana warownia. Na przestrzeni wieków obiekt wielokrotnie przechodził w ręce różnych właścicieli, a także był niszczony przez pożary i poddawany kolejnym przebudowom.

Obecny pałac Ernesta Joachima Strachwitza został wzniesiony w 1826 roku.
",pl:Zespół pałacowo-parkowy w Krowiarkach,Q540596
K01.20.20 - Dwory szlacheckie,Iłownica,Polska,śląskie,bielski,Jasienica,43-394,"śląskie, bielski, Jasienica, Iłownica 282",,,,,,
K01.20.30 - Dwory inne,Dwór w Dzimierzu,Polska,śląskie,rybnicki,Lyski,44-295,"śląskie, rybnicki, Lyski, Dzimierz, Sportowa 3",,,,,,
K01.20.30 - Dwory inne,Dwór w Kotulinie,Polska,śląskie,gliwicki,Toszek,44-180,"śląskie, gliwicki, Toszek, Kotulin, Gliwicka 13",,,,,,
K01.20.30 - Dwory inne,Dworek Częstochowa ,Polska,śląskie,Częstochowa,Częstochowa,42-202,"śląskie, Częstochowa, Częstochowa, Częstochowa, Podhalańska 1C",,,,,,
K01.20.30 - Dwory inne,Zadąbrowie,Polska,podkarpackie,jarosławski,Radymno,37-550,"podkarpackie, jarosławski, Radymno, Skołoszów, Piłsudskiego 7",,,,,,
K01.20.30 - Dwory inne,Łobozew,Polska,podkarpackie,bieszczadzki,Ustrzyki Dolne,38-700,"podkarpackie, bieszczadzki, Ustrzyki Dolne, Łobozew Dolny 61A",,,,,,
K01.20.30 - Dwory inne,Łęki Strzyżowskie,Polska,podkarpackie,krośnieński,Wojaszówka,38-471,"podkarpackie, krośnieński, Wojaszówka, Łęki Strzyżowskie 298",,,,,,
K01.20.30 - Dwory inne,Żeglce,Polska,podkarpackie,krośnieński,Chorkówka,38-458,"podkarpackie, krośnieński, Chorkówka, Żeglce 118",,,,,,
K01.20.30 - Dwory inne,Dwór w Sierakościcach,Polska,podkarpackie,przemyski,Fredropol,37-743,"podkarpackie, przemyski, Fredropol, Sierakośce 11",,,,,,
K01.20.30 - Dwory inne,Krzemienna,Polska,podkarpackie,brzozowski,Dydnia,36-204,"podkarpackie, brzozowski, Dydnia, Krzemienna 83",,,,,,
K01.30.10 - Zamki,Kaplica z basztą w Zawadzie,Polska,podkarpackie,dębicki,Dębica,39-200,"podkarpackie, dębicki, Dębica, Zawada 115",fair,limited,good,"Zamek w Zawadzie to historyczna rezydencja, której początki sięgają II połowy XVI wieku i wiążą się z rodem Ligęzów. Pierwotnie była to czterobasztowa budowla obronna, która na przestrzeni wieków należała do Przebędowskich, Radziwiłłów i ostatecznie Raczyńskich. W XIX wieku hrabia Atanazy Raczyński podjął się gruntownej odbudowy obiektu z ruin, nadając mu styl neogotycki. Projekt fasady wschodniej opracował wybitny pruski architekt Karl Friedrich Schinkel.

W 1914 roku, podczas I wojny światowej, zamek został spalony przez oddział Kozaków dońskich, co doprowadziło do jego ponownego zniszczenia. Z dawnej, okazałej budowli przetrwała jedynie zwieńczona krenelażem baszta z mniejszą wieżyczką oraz fragment murów ze skrzydłem o schodkowatych szczytach. W 1918 roku, w bezpośrednim sąsiedztwie ruin, wzniesiono nowy pałac w typie willi, będący dokładną kopią rezydencji Rhodesa Smitha z Afryki Południowej.

Całe założenie otoczone jest częściowo zachowanym kamiennym murem z XVII-wieczną wieżą bramną nakrytą dachem czterospadowym. Obecnie zespół zamkowo-parkowy  stanowi własność prywatną. Wstęp na teren parku oraz do ruin zamku jest zabroniony. W dokumentacji ewidencyjnej obiekt bywa określany również jako „zameczek romantyczny z basztą” lub „pozostałości dworu”.",,
K01.20.30 - Dwory inne,Stawki,Polska,lubelskie,janowski,Potok Wielki,23-313,"lubelskie, janowski, Potok Wielki, Stawki 22",,,,,,
K01.20.30 - Dwory inne,Dwór Pstrągowa,Polska,podkarpackie,strzyżowski,Czudec,38-120,"podkarpackie, strzyżowski, Czudec, Pstrągowa 21",,,,,,
K01.20.30 - Dwory inne,Dworek „Siterówka” Łopuszka Mała II,Polska,podkarpackie,przeworski,Kańczuga,37-220,"podkarpackie, przeworski, Kańczuga, Łopuszka Mała 6",,,,,,
K01.20.30 - Dwory inne,Dwór ul. Zamkowa 4 Jarosław,Polska,podkarpackie,jarosławski,Jarosław,37-500,"podkarpackie, jarosławski, Jarosław, Jarosław, Zamkowa 4",,,,,,
K01.20.30 - Dwory inne,Hadle Szklarskie I,Polska,podkarpackie,przeworski,Jawornik Polski,37-231,"podkarpackie, przeworski, Jawornik Polski, Hadle Szklarskie 70",,,,,,
K01.20.30 - Dwory inne,Haczów,Polska,podkarpackie,brzozowski,Haczów,36-213,"podkarpackie, brzozowski, Haczów, Haczów 93",excellent,full,good,"Dwór w Haczowie to jedna z najcenniejszych szlacheckich rezydencji Podkarpacia, której początki sięgają przełomu XVI i XVII wieku. Obecny wygląd budynek zawdzięcza przebudowie z początku XIX wieku, kiedy nadano mu późnobarokowo-klasycystyczną formę z charakterystycznym czterokolumnowym portykiem i mansardowym dachem. Rezydencję otacza zabytkowy park krajobrazowy z oficyną, kaplicą i oranżerią, tworzący historyczny zespół dworski. Po kompleksowej rewitalizacji zakończonej w 2021 roku dwór odzyskał dawny blask i obecnie pełni funkcje kulturalne oraz biblioteczne, będąc ważnym zabytkiem regionu.",,
K01.20.30 - Dwory inne,Przemyśl II - Dwór-Zamkowa 1,Polska,podkarpackie,Przemyśl,Przemyśl,37-700,"podkarpackie, Przemyśl, Przemyśl, Przemyśl, Zamkowa 1",,,,,,
K01.20.30 - Dwory inne,Goraj,Polska,pomorskie,sztumski,Sztum,82-400,"pomorskie, sztumski, Sztum, Goraj 3",,,,,,
K01.20.30 - Dwory inne,Dwór w Sławutówku,Polska,pomorskie,pucki,Puck,84-100,"pomorskie, pucki, Puck, Sławutówko, Pałacowa 31",,,,,,
K01.20.30 - Dwory inne,Dwór Starnice,Polska,pomorskie,słupski,Dębnica Kaszubska,76-248,"pomorskie, słupski, Dębnica Kaszubska, Starnice 3",,,,,,
K01.20.30 - Dwory inne,Dwór w Szramowie,Polska,pomorskie,kwidzyński,Prabuty,82-550,"pomorskie, kwidzyński, Prabuty, Szramowo 9",,,,,,
K01.20.30 - Dwory inne,Domisław II,Polska,pomorskie,człuchowski,Czarne,77-330,"pomorskie, człuchowski, Czarne, Domisław 21",,,,,,
K01.20.30 - Dwory inne,Gościęcino,Polska,pomorskie,wejherowski,Choczewo,84-210,"pomorskie, wejherowski, Choczewo, Gościęcino 3",,,,,,
K01.20.30 - Dwory inne,Ruiny dworu w Trankwice,Polska,pomorskie,sztumski,Stary Targ,82-410,"pomorskie, sztumski, Stary Targ, Trankwice 19",,,,,,
K01.20.20 - Dwory szlacheckie,Pozolia,Polska,pomorskie,sztumski,Stary Targ,82-410,"pomorskie, sztumski, Stary Targ, Pozolia 6",,,,,,
K01.20.30 - Dwory inne,Bruk,Polska,pomorskie,sztumski,Dzierzgoń,82-440,"pomorskie, sztumski, Dzierzgoń, Bruk 8",,,,,,
K01.20.30 - Dwory inne,Dwór Częstkowo,Polska,pomorskie,wejherowski,Szemud,84-217,"pomorskie, wejherowski, Szemud, Częstkowo, Lipkowa 9",,,,,,
K01.20.30 - Dwory inne,Prusewo,Polska,pomorskie,pucki,Krokowa,84-110,"pomorskie, pucki, Krokowa, Prusewo, Pucka 8",,,,,,
K01.20.30 - Dwory inne,Dwór Cierzpice,Polska,pomorskie,tczewski,Gniew,83-140,"pomorskie, tczewski, Gniew, Cierzpice 5",,,,,,
K01.30.10 - Zamki,Gniew,Polska,pomorskie,tczewski,Gniew,83-140,"pomorskie, tczewski, Gniew, Gniew, Zamkowa 3",excellent,partial,good,"Zamek w Gniewie – zamek zbudowany przez Zakon krzyżacki na planie czworoboku w końcu XIII i na początku XIV w. na lewym brzegu Wisły i rozbudowany w XIV i XV w., następnie od połowy wieku XV do 1772 siedziba polskich starostów, w 1664 należał do starostwa gniewskiego",pl:Zamek w Gniewie,Q5574254
K01.20.30 - Dwory inne,Lisewo,Polska,pomorskie,wejherowski,Gniewino,84-250,"pomorskie, wejherowski, Gniewino, Lisewo 1",,,,,,
K01.20.30 - Dwory inne,Żuława,Polska,pomorskie,gdański,Pruszcz Gdański,83-010,"pomorskie, gdański, Pruszcz Gdański, Żuława, Lipowa 22",,,,,,
K01.20.30 - Dwory inne,Dębówka,Polska,mazowieckie,garwoliński,Trojanów,08-455,"mazowieckie, garwoliński, Trojanów, Dębówka 54",,,,,,
K01.20.30 - Dwory inne,Malerzowice Wielkie,Polska,opolskie,nyski,Łambinowice,48-316,"opolskie, nyski, Łambinowice, Malerzowice Wielkie 7",,,,,,
K01.20.30 - Dwory inne,Dwór w Kowalowicach,Polska,opolskie,namysłowski,Namysłów,46-142,"opolskie, namysłowski, Namysłów, Kowalowice, Kręta 6",,,,,,
K01.20.30 - Dwory inne,Mieszków,Polska,lubuskie,żarski,Trzebiel,68-212,"lubuskie, żarski, Trzebiel, Mieszków 15",poor,limited,good,"Klasycystyczno-barokowy dwór z końca XVIII wieku w Mieszkowie (lubuskie). Choć dawniej zachwycał architekturą, obecnie obiekt znajduje się w stanie zaawansowanej ruiny. Ze względów bezpieczeństwa wchodzenie do środka jest nie polecane, ale pozostałości murów można bezpiecznie oglądać z zewnątrz.",n/a,n/a
K01.20.30 - Dwory inne,Lubieszów,Polska,lubuskie,żagański,Wymiarki,68-131,"lubuskie, żagański, Wymiarki, Lubieszów 7",good,limited,good,"Dwór w Lubieszowie powstał na przełomie XIX i XX wieku jako siedziba majątku ziemskiego należącego do kolejnych właścicieli miejscowych dóbr. Murowany budynek o prostej, symetrycznej bryle otoczono parkiem i zabudowaniami folwarcznymi, tworząc zespół dworsko-parkowy. Po II wojnie światowej majątek przejął Skarb Państwa, a w dworze urządzono mieszkania dla pracowników PGR. Obiekt zachował wiele oryginalnych elementów architektonicznych i pozostaje cennym zabytkiem regionu.",,
K01.20.30 - Dwory inne,Leszno Dolne,Polska,lubuskie,żagański,Szprotawa,67-300,"lubuskie, żagański, Szprotawa, Leszno Dolne 36",,,,,,
K01.20.30 - Dwory inne,Szyba,Polska,lubuskie,nowosolski,Nowe Miasteczko,67-124,"lubuskie, nowosolski, Nowe Miasteczko, Szyba 14",,,,,,
K01.20.30 - Dwory inne,Sosny,Polska,lubuskie,gorzowski,Witnica,66-460,"lubuskie, gorzowski, Witnica, Sosny 14",,,,,,
K01.20.30 - Dwory inne,Janiewice,Polska,zachodniopomorskie,sławieński,Sławno,76-100,"zachodniopomorskie, sławieński, Sławno, Janiewice 16",,,,,,
K01.20.30 - Dwory inne,Kępsko,Polska,zachodniopomorskie,koszaliński,Bobolice,76-020,"zachodniopomorskie, koszaliński, Bobolice, Kępsko 6",,,,,,
K01.20.30 - Dwory inne,Strąpie,Polska,zachodniopomorskie,myśliborski,Barlinek,74-322,"zachodniopomorskie, myśliborski, Barlinek, Strąpie 1",,,,,,
K01.20.30 - Dwory inne,Unimie,Polska,zachodniopomorskie,łobeski,Łobez,73-150,"zachodniopomorskie, łobeski, Łobez, Unimie 7",,,,,,
K01.30.20 - Dwory obronne,Dwór Obronny w Niedrzwicy Dużej,Polska,lubelskie,lubelski,Niedrzwica Duża,24-220,"lubelskie, lubelski, Niedrzwica Duża, Niedrzwica Duża, Górki 30",fair,limited,fair,"Dwór obronny w Niedrzwicy Dużej (województwo lubelskie, powiat lubelski) to cenny, choć słabo eksponowany zabytek późnorenesansowej architektury rezydencjonalno-militarnej. Stanowi on rzadki na Lubelszczyźnie przykład murowanej siedziby szlacheckiej typu fortalicium, która ńczyła funkcje reprezentacyjne z możliwościami obrony przed mniejszymi oddziałami wroga lub pospolitymi rozbójnikami.

Początki murowanej budowli sięgają przełomu XVI i XVII wieku. Wzniesiony został prawdopodobnie z inicjatywy rodu Niedrzwickich, herbu Rawicz, którzy dążyli do podkreślenia swojego statusu materialnego i społecznego. W kolejnych stuleciach majątek przechodził w ręce innych rodów szlacheckich. Obiekt ucierpiał w czasie potopu szwedzkiego, a w XVIII i XIX wieku został gruntownie przebudowany. Nowi właściciele przekształcili dawną fortalicję w klasycystyczny dwór, likwidując większość zewnętrznych cech obronnych. Po II wojnie światowej majątek został przejęty przez państwo, a w budynku urządzono biura i mieszkania, co zapoczątkowało okres powolnej dewastacji obiektu. W latach 90. XX wieku przeszedł w ręce prywatne, co uchroniło go przed całkowitym zniszczeniem.

Konstrukcja pierwotnego dworu została wzniesiona na planie prostokąta z lokalnego kamienia wapiennego oraz cegły. Był to budynek piętrowy, silnie podpiwniczony, charakteryzujący się grubymi murami obwodowymi. Świadectwem dawnego, obronnego charakteru rezydencji są zachowane w najniższych kondygnacjach sklepienia kolebkowe z lunetami oraz system głębokich piwnic. Dwór posadowiono w naturalnie obronnym miejscu – na wzniesieniu pośród podmokłych łąk w dolinie rzeki Niedrzwicy, a całe założenie otaczała dawniej nawodniona fosa oraz ziemne wały.

Współcześnie dawny dwór obronny znajduje się w rękach prywatnych. Obiekt, otoczony pozostałościami zabytkowego parku z wiekowym starodrzewem, jest częściowo odrestaurowany. Ze względu na charakter własności zwiedzanie wnętrz nie jest możliwe, jednak budynek można obejrzeć z zewnątrz, odnajdując w jego bryle ślady dawnej świetności techniki obronnej dawnej Rzeczypospolitej.",,
K01.20.30 - Dwory inne,Dwór Dys,Polska,lubelskie,lubelski,Niemce,21-003,"lubelskie, lubelski, Niemce, Dys, Dworska 1",,,,,,
K01.20.30 - Dwory inne,Lubartów I - Tadeusza Kościuszki 3,Polska,lubelskie,lubartowski,Lubartów,21-100,"lubelskie, lubartowski, Lubartów, Lubartów, Tadeusza Kościuszki 3",,,,,,
K01.20.30 - Dwory inne,Dwór Lubartów - Tadeusza Kościuszki 28,Polska,lubelskie,lubartowski,Lubartów,21-100,"lubelskie, lubartowski, Lubartów, Lubartów, Tadeusza Kościuszki 28",,,,,,
K01.20.30 - Dwory inne,Rogóźno II,Polska,lubelskie,tomaszowski,Tomaszów Lubelski,22-600,"lubelskie, tomaszowski, Tomaszów Lubelski, Rogóźno, Sybiraków 10",,,,,,
K01.20.20 - Dwory szlacheckie,Kolonia Zamek,Polska,lubelskie,janowski,Modliborzyce,23-310,"lubelskie, janowski, Modliborzyce, Kolonia Zamek 25",,,,,,
K01.20.30 - Dwory inne,Wilczyn (Grabanów),Polska,lubelskie,bialski,Biała Podlaska,21-500,"lubelskie, bialski, Biała Podlaska, Wilczyn 31",,,,,,
K01.20.30 - Dwory inne,Dwór w Okszowie,Polska,lubelskie,chełmski,Chełm,22-105,"lubelskie, chełmski, Chełm, Okszów-Kolonia, Chełmska 16C",,,,,,
K01.20.30 - Dwory inne,Ryżki,Polska,lubelskie,łukowski,Łuków,21-400,"lubelskie, łukowski, Łuków, Ryżki 75",excellent,partial,good,"Dwór w Ryżkach to zabytkowa rezydencja wzniesiona w 1916 roku na miejscu drewnianego dworu spalonego podczas działań wojennych w 1915 roku. Była siedzibą majątku rodziny Zawadzkich i centrum życia gospodarczego okolicy. Po II wojnie światowej majątek rozparcelowano, a budynek pełnił różne funkcje publiczne. Dwór zachował historyczną bryłę i pozostaje cennym świadectwem architektury ziemiańskiej Lubelszczyzny.",,
K01.20.20 - Dwory szlacheckie,Jaszczów,Polska,lubelskie,łęczyński,Milejów,21-020,"lubelskie, łęczyński, Milejów, Jaszczów 226",,,,,,
K01.20.30 - Dwory inne,Dwór Żochy,Polska,mazowieckie,ciechanowski,Ojrzeń,06-456,"mazowieckie, ciechanowski, Ojrzeń, Żochy 34a",,,,,,
K01.20.20 - Dwory szlacheckie,Dańków,Polska,mazowieckie,grójecki,Błędów,05-620,"mazowieckie, grójecki, Błędów, Dańków 1",,,,,,
K01.20.30 - Dwory inne,Dwór Czerwin,Polska,mazowieckie,ostrołęcki,Czerwin,07-407,"mazowieckie, ostrołęcki, Czerwin, Czerwin, Wolności 12",,,,,,
K01.20.30 - Dwory inne,Konary,Polska,mazowieckie,przysuski,Wieniawa,26-432,"mazowieckie, przysuski, Wieniawa, Konary 8",,,,,,
K01.20.30 - Dwory inne,Goździk,Polska,mazowieckie,garwoliński,Górzno,08-404,"mazowieckie, garwoliński, Górzno, Goździk 13",,,,,,
K01.20.30 - Dwory inne,Smogorzów,Polska,mazowieckie,przysuski,Przysucha,26-400,"mazowieckie, przysuski, Przysucha, Smogorzów, Główna 36",,,,,,
K01.20.20 - Dwory szlacheckie,Pabierowice,Polska,mazowieckie,grójecki,Grójec,05-604,"mazowieckie, grójecki, Grójec, Pabierowice 39",,,,,,
K01.20.30 - Dwory inne,Dwór Uleniec,Polska,mazowieckie,grójecki,Grójec,05-600,"mazowieckie, grójecki, Grójec, Uleniec 65",,,,,,
K01.20.30 - Dwory inne,Majki Małe,Polska,mazowieckie,sierpecki,Zawidz,09-209,"mazowieckie, sierpecki, Zawidz, Majki Małe 24",,,,,,
K01.20.30 - Dwory inne,Dwór Wymysły,Polska,mazowieckie,sokołowski,Sabnie,08-331,"mazowieckie, sokołowski, Sabnie, Wymysły 24",,,,,,
K01.20.30 - Dwory inne,Piegłowo,Polska,mazowieckie,mławski,Szydłowo,06-516,"mazowieckie, mławski, Szydłowo, Piegłowo-Wieś 6",,,,,,
K01.20.30 - Dwory inne,Kliczewo Małe,Polska,mazowieckie,żuromiński,Żuromin,09-300,"mazowieckie, żuromiński, Żuromin, Kliczewo Małe, Szkolna 22",,,,,,
K01.20.30 - Dwory inne,Kwaśno,Polska,mazowieckie,sierpecki,Sierpc,09-200,"mazowieckie, sierpecki, Sierpc, Kwaśno 2",,,,,,
K01.20.30 - Dwory inne,Dwór w Łaziskach,Polska,mazowieckie,lipski,Ciepielów,27-310,"mazowieckie, lipski, Ciepielów, Łaziska 101",,,,,,
K01.20.30 - Dwory inne,Nosów,Polska,lubelskie,bialski,Leśna Podlaska,21-542,"lubelskie, bialski, Leśna Podlaska, Nosów 75",,,,,,
K01.20.30 - Dwory inne,Ciółkowo,Polska,mazowieckie,płocki,Radzanowo,09-451,"mazowieckie, płocki, Radzanowo, Ciółkowo 52",,,,,,
K01.20.30 - Dwory inne,Dwór Cumino,Polska,mazowieckie,płoński,Dzierzążnia,09-163,"mazowieckie, płoński, Dzierzążnia, Cumino 29",,,,,,
K01.30.10 - Zamki,Ruiny zamku w Solcu nad Wisłą,Polska,mazowieckie,lipski,Solec nad Wisłą,27-320,"mazowieckie, lipski, Solec nad Wisłą, Solec nad Wisłą, Amernia 3",,,,,https://pl.wikipedia.org/wiki/Zamek_w_Solcu_nad_Wis%C5%82%C4%85,Q9386740
K01.20.30 - Dwory inne,Mdzewko,Polska,mazowieckie,mławski,Strzegowo,06-445,"mazowieckie, mławski, Strzegowo, Mdzewko 26",,,,,,
