fid,@id,wkt,x_wgs84,y_wgs84,historic,name,building,addr:housenumber,addr:postcode,castle_type,source:addr,addr:city:simc,addr:place,addr:city,wikidata,source,addr:street,heritage,wikipedia,tourism,heritage:operator,ref:nid,building:levels,start_date,url,description,website,ruins,access,addr:street:sym_ul,image,source:geometry,source:building,name:de,wikimedia_commons,historic:civilization,phone,name:pl,type,alt_name,ref:ckkp,nid:inscription_date,email,name:en,old_name,amenity,roof:shape,addr:country,heritage:website,opening_hours,operator,roof:colour,ref:inspire,roof:levels,building:colour,building:fireproof,building:material,note,barrier,wheelchair,fee,check_date,wikipedia:pl,roof:material,height,mapillary,contact:phone,material,nid:website,addr:housename,building:architecture,name:ru,architect,building:levels:underground,contact:website,contact:email,name:uk,internet_access,layer,loc_name,name:fr,official_name,contact:facebook,name:cs,short_name,name:be,old_name:de,government,man_made,name:es,abandoned,office,social_facility,stars,alt_name:de,alt_name:pl,ele,fixme,name:hu,nid:ref,religion,source_ref,tower:type,building:use,denomination,heritage:since,museum,name:eo,name:zh,ref,toilets:wheelchair,admin_level,area,charge,cuisine,inscription,internet_access:fee,name:it,name:pt,roof:orientation,social_facility:for,year_of_construction
811,way/245960500,POINT (15.10103944938013 52.0473782),15.10103944938013,52.0473782,castle,Zamek Piastowski,yes,,,,,,,,,,,,,,,,3,,"https://polska-org.pl/4327197,Krosno_Odrzanskie,Zamek_Piastowski_Centrum_artystycznokulturalne_Zamek.html","https://www.youtube.com/watch?v=xdu_5qI5oNY       ;     https://fotopolska.eu/45398,obiekt.html?map_z=19",http://cak-zamek.pl/historia-zamku/historia-zamku/,,,,https://images.mapillary.com/U7d-ES3-FyLjumX_xbriNA/thumb-2048.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1191690311263477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
812,way/246026815,POINT (19.005689578148925 53.901500999999996),19.005689578148925,53.901500999999996,manor,Dawny dwór,yes,208,82-400,,sztum.e-mapa.net,0158764,Sztumska Wieś,,,,,2,,,nid,393/94,,late C19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
813,way/246068113,POINT (19.023987612209517 53.91424805),19.023987612209517,53.91424805,manor,Dawny dwór Donimirskich,yes,38,82-400,,sztum.e-mapa.net,0158824,Zajezierze,,,,,2,,,nid,107/N z 1960,,mid C18..late C18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
814,way/246385014,POINT (15.929236458364695 54.2202112),15.929236458364695,54.2202112,castle,Pałac XIXw. w Dworku,residential,1,76-038,manor,bedzino.e-mapa.net,0302400,Dworek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
815,way/246707711,POINT (18.581725398364412 50.19712965),18.581725398364412,50.19712965,castle,Pałac w Wilczy,castle,,44-189,palace,,,,,Q24945478,,Karola Miarki,2,pl:Pałac w Wilczy,attraction,nid,A/1276/81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,way/246723680,POINT (18.535742193469105 50.3946621),18.535742193469105,50.3946621,castle,Pałac w Bycinie,yes,29,44-120,palace,,,,Bycina,,,Rolnicza,2,,,nid,A/315/60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
817,way/246727270,POINT (18.458380917645023 53.404970399999996),18.458380917645023,53.404970399999996,castle,Zamek Krzyżacki w Świeciu,yes,11,86-100,,,,,Swiecie,Q9386587,http://ump.waw.pl/ retrieved 11:19:07 11/17/09 (UMP-Torun/src/POI-BYDGOSZCZ.punkty.pnt-converted.txt),Zamkowa,,pl:Zamek krzyżacki w Świeciu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,way/246793779,POINT (16.409988446029082 53.9454031),16.409988446029082,53.9454031,castle,Pałac von Kleist,yes,1,78-220,palace,tychowo.e-mapa.net,0313584,Smęcino,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,way/247134164,POINT (16.833294602313835 51.04850485),16.833294602313835,51.04850485,manor,Pałac w Sadkowie,yes,,,,,,,,Q24946275,bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pałac w Sadkowie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820,way/247168710,POINT (19.214633446183644 53.9633604),19.214633446183644,53.9633604,manor,Dwór Donimirskich,yes,,,,,,,,,,,2,,,nid,38/78,,C17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,way/247474270,POINT (16.131408026593927 51.13142925),16.131408026593927,51.13142925,castle,Pałac Warmątowice Sienkiewiczowskie,yes,,,stately,,,,,Q24945038,,,2,pl:Pałac w Warmątowicach Sienkiewiczowskich,,nid,A/3424/713,,,,,https://www.palac-warmatowice.pl/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,way/247582654,POINT (20.827245114754106 49.857905),20.827245114754106,49.857905,manor,Dwór Elżbiety i Krzysztofa Pendereckich z XVIII w.,house,1,32-840,,emuia.gugik.gov.pl,0836833,Lusławice,,,,,,,,,,1,,https://zabytek.pl/pl/obiekty/g-224876,,,,,,,EGiB,BDOT,,File:Dwór Pendereckich w Lusławicach.JPG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823,way/247840377,POINT (15.285818549999998 53.47530535),15.285818549999998,53.47530535,castle,Ruiny pałacu w Karkowie,yes,,,palace,,,,,,,,,,,,,,,"http://pomeranica.pl/wiki/Pa%C5%82ac_(Karkowo,_powiat_stargardzki)",,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
824,way/247884741,POINT (16.88193760454545 51.032668),16.88193760454545,51.032668,castle,Pałac w Biskupicach Podgórnych,residential,14,55-040,stately,emuia.gugik.gov.pl,0875336,,Biskupice Podgórne,Q19401097,,Polna,,pl:Pałac w Biskupicach Podgórnych,,,,,,,,,,,17011,,,EGiB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,way/247976789,POINT (16.870833809560445 51.03963265),16.870833809560445,51.03963265,manor,Pałac,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,way/248105656,POINT (20.262652065242058 49.9741389),20.262652065242058,49.9741389,manor,Pałac Żeleńskich,manor,,32-015,,,,,,,,,,,,,,3,,,,http://www.palac-zelenskich.pl/,,,,,,,,,,,,,,,,,,,events_venue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
827,way/248143666,POINT (16.78224129804059 51.0443162),16.78224129804059,51.0443162,manor,Pałac w Jurczycach,yes,2,55-080,,emuia.gugik.gov.pl,0875276,Jurczyce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828,way/248182080,POINT (16.411058422970157 51.1585786),16.411058422970157,51.1585786,castle,Pałac Dzierżkowice,yes,8c,59-243,palace,ruja.e-mapa.net,0367462,Dzierżkowice,,,bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,way/248184776,POINT (16.467058062611702 51.17255725),16.467058062611702,51.17255725,castle,Pałac Scheiblera,yes,2,55-320,stately,,,,Kwietno,,UG Malczyce,Wspólna,,,attraction,,,,,,,,,private,,,"geoportal.gov.pl, GPS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
830,way/248273583,POINT (16.459976071921176 51.165787699999996),16.459976071921176,51.165787699999996,castle,Pałac myśliwski-sztuczna ruina,yes,,,,,,,,,,,,,attraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
831,way/248543929,POINT (18.05844830886219 51.781592200000006),18.05844830886219,51.781592200000006,manor,,yes,6,62-800,,,0194270,Warszówka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
832,way/249210394,POINT (21.01627125137427 52.24724535),21.01627125137427,52.24724535,castle,Pałac Pod Blachą,palace,2,00-277,palace,mapa.um.warszawa.pl,0918123,,Warszawa,Q1720684,,Plac Zamkowy,,pl:Pałac Pod Blachą,,,,,,,,,,,,,,,Palast unter dem Blechdach,,,,Pałac Pod Blachą,,,,,,Copper-Roof Palace,Dom Reffusa,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,way/249390028,POINT (20.54082433291218 53.79252725),20.54082433291218,53.79252725,manor,Dworek Beliana na Tracku,apartments,15,,,,,,Olsztyn,,,Tracka,,,,,,2,,,,,,,,,,BDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
834,way/249518652,POINT (20.13950935267475 53.530148249999996),20.13950935267475,53.530148249999996,castle,Pałac w Pacółtowie,yes,2,14-107,,,,Pacółtowo,,,,,,,hotel,,,,,,,http://www.palacpacoltowo.com/,,,,,,,,,,,,,,,,,,,,,,,,Aurepio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
835,way/249943114,POINT (21.64461575 49.86687135),21.64461575,49.86687135,manor,Dwór Mycielskich w Wiśniowej,yes,193,38-124,,emuia1.gugik.gov.pl,0667632,Wiśniowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
836,way/250552842,POINT (23.058227023440807 53.017488650000004),23.058227023440807,53.017488650000004,manor,,yes,4,18-106,,,,,Turośń Kościelna,,,Lipowa,2,,attraction,nid,A-454,2,late C18,,,,,,,,,,,,,,,,,,1956-07-27,,,,,mansard,,https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_N_20_BK.68782&rejestr=rejestr-zabytkow,,,orangered,,2,white,,,,,,,,,roof_tiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
837,way/250700833,POINT (15.834768745750752 52.9571449),15.834768745750752,52.9571449,castle,Pałac Mierzęcin,yes,1,66-520,palace,dobiegniew.e-mapa.net,,Mierzęcin,,,"Starostwo Powiatowe Strzelce Krajeńskie, survey",,,,hotel,,,,,https://www.youtube.com/channel/UCn_6uG49OFHBhWwFO9fOfDg,,https://www.palacmierzecin.pl/,,,,,,,,,,+48 95 713 15 00,,,,,,recepcja@palacmierzecin.pl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
838,way/250701152,POINT (15.703048731354546 52.96754405),15.703048731354546,52.96754405,castle,,palace,34,66-520,,dobiegniew.e-mapa.net,,Osiek,,,"Starostwo Powiatowe Strzelce Krajeńskie, survey",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,public_building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
839,way/250702490,POINT (15.66175553526008 52.9465586),15.66175553526008,52.9465586,castle,Spichlerz zamku krzyżackiego w Chomętowie,yes,,,defensive,,,,,,"Starostwo Powiatowe Strzelce Krajeńskie, survey",,,,,,,,XVw.,,,https://www.zamki.pl/?idzamku=chometowo,,private,,,,,,,medieval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
840,way/251851589,POINT (21.126947829405943 51.4854852),21.126947829405943,51.4854852,castle,,yes,1,,palace,jedlinsk.e-mapa.net,0625326,,Wsola,,,Witolda Gombrowicza,,,,,,,,,,,,,05787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
841,way/252130096,POINT (19.785978338851386 54.14090040000001),19.785978338851386,54.14090040000001,castle,Pałac Rodu Dohnów,ruins,,,palace,,,,,Q1960842,geoportal.gov.pl:ortofoto,,,pl:Pałac w Słobitach,,,,,,,,,yes,,,,,,Dohnasches Schloss Schlobitten in Ostpreußen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
842,way/252328013,POINT (23.204792320511153 53.109641499999995),23.204792320511153,53.109641499999995,castle,Pałac Lubomirskich,yes,26,,palace,EMUiA (emuia.gugik.gov.pl),,,Białystok,,,Księdza Stanisława Suchowolca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
843,way/252561323,POINT (18.71082370762324 51.194382399999995),18.71082370762324,51.194382399999995,manor,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
844,way/252707515,POINT (16.866892543948786 50.95878525),16.866892543948786,50.95878525,manor,Pałac,yes,1,55-040,,emuia.gugik.gov.pl,0875550,,Pustków Żurawski,,bing,Parkowa,,,,,,,,,,,,,15710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
845,way/252786639,POINT (15.679104354090766 51.27551995),15.679104354090766,51.27551995,castle,Pałac w Tomaszowie Bolesławieckim,,,,stately,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,way/253052184,POINT (15.667885783401314 51.23217675),15.667885783401314,51.23217675,manor,Plebania,house,35,59-722,,,0368125,Warta Bolesławiecka,,,,,,,,,,1,,,,,,,,,,,,,,+48 75 738 95 62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
847,way/253144993,POINT (15.654061963303391 51.23280715),15.654061963303391,51.23280715,castle,Dwór z XVI wieku,residential,62,59-720,manor,,,Warta Bolesławiecka,,,,,,,,,,1,,"https://polska-org.pl/512618,Warta_Boleslawiecka,Dwor_Warta_Boleslawiecka.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
848,way/253174915,POINT (21.768492874449734 51.134776650000006),21.768492874449734,51.134776650000006,manor,Dom z podcieniam,yes,6,27-320,,emuia.gugik.gov.pl,0637921,,Solec nad Wisłą,,,Plac Bolesława Śmiałego,2,,attraction,nid,156/A/82 z 1982-03-16,,,,,,,,01754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
849,way/253253073,POINT (19.5790586 51.08477385),19.5790586,51.08477385,manor,Dwór w Zakrzewie,house,20,97-512,,,,Zakrzew,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
850,way/253295224,POINT (15.615313716569416 51.26621005),15.615313716569416,51.26621005,castle,Pałac w Kruszynie,residential,12,59-700,stately,,,,Kruszyn,Q25412494,,Topolowa,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pałac w Kruszynie (województwo dolnośląskie),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
851,way/253353020,POINT (18.44930546464594 51.17256675),18.44930546464594,51.17256675,manor,,yes,,,,,,,,,sdi.geoportal.gov.pl:ORTOFOTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
852,way/253353969,POINT (16.780180534114493 50.34814145),16.780180534114493,50.34814145,castle,Zamek na Skale,palace,151,57-541,stately,emuia.gugik.gov.pl,0853211,Trzebieszowice,,,bing sat,,,,hotel,,,,,,"Pałac z XVIII w., posadowiony na wychodniach amfibolitów.",,,,,,"geoportal.gov.pl,GPS",,Schloss Kunzendorf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
853,way/253396564,POINT (21.64043635 51.288196299999996),21.64043635,51.288196299999996,castle,Pałac w Jasieńcu Soleckim,yes,,,palace,EMUiA (emuia.gugik.gov.pl),,Jasieniec-Kolonia,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
854,way/253522229,POINT (20.631299593220312 51.3604775),20.631299593220312,51.3604775,castle,Dwór Dembińskich,yes,,,manor,,,,,Q11787304,,,,pl:Muzeum im. Oskara Kolberga w Przysusze,,,,,,,,https://mazowsze.szlaki.pttk.pl/536-pttk-mazowsze-dwor-dembinskich-muzeum-im-oskara-kolberga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://zabytek.pl/pl/obiekty/zabytek?inspire_id=PL.1.9.ZIPOZ.NID_N_14_BK.171386&rejestr=rejestr-zabytkow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
855,way/253771265,POINT (16.546385033277268 53.04051815),16.546385033277268,53.04051815,castle,Pałac von Sachsen-Altenburg,yes,,,palace,,,,,,,,2,,,nid,A-324,,1929,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
856,way/253789676,POINT (17.232756099499426 53.53173525),17.232756099499426,53.53173525,castle,pałac z II poł. XIX w.,yes,46,77-420,palace,lipka.e-mapa.net,0527003,Debrzno-Wieś,,,,,2,,,nid,657388,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
857,way/253824045,POINT (17.785321582762556 51.65211375),17.785321582762556,51.65211375,manor,,yes,11,63-400,,gugik.gov.pl,0937132,,Ostrów Wielkopolski,,,Czerwonych Kosynierów,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
858,way/253832005,POINT (22.002188691471673 52.25283415),22.002188691471673,52.25283415,manor,Dwór Cieszkowskich,yes,1,07-110,,emuia.gugik.gov.pl,0672142,Nowa Sucha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
859,way/253832082,POINT (22.00326255884303 52.25411645),22.00326255884303,52.25411645,manor,Dwór klasycystyczny z Rudzienka koło Kołbieli,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
860,way/253883785,POINT (23.152964845648143 50.23904485),23.152964845648143,50.23904485,castle,,yes,,,palace,,,,,,,,,,,,,,,,,,yes,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
861,way/253914755,POINT (16.84635025629353 50.74946905),16.84635025629353,50.74946905,castle,Pałac,yes,,,manor,,,,,,bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
862,way/254011435,POINT (16.12990415 52.9766895),16.12990415,52.9766895,castle,Dwór Dębogóra,yes,18,64-730,palace,wielen.e-mapa.net,,Dębogóra,,Q9213430,,,2,pl:Dwór w Dębogórze,hostel,nid,A-762,,,,,http://debogora.weebly.com/,,customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
863,way/254062152,POINT (18.913260429309805 51.9631776),18.913260429309805,51.9631776,manor,Dwór w Bronowie,yes,6,99-220,,gugik.gov.pl,0716342,Bronów,,,zamkilodzkie.pl,,,,attraction,,,,C20,http://www.zamkilodzkie.pl/pliki/bronow.htm,Dwór w Bronowie wzniesiony w XX wieku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
864,way/254067123,POINT (19.648769938375352 50.467876000000004),19.648769938375352,50.467876000000004,castle,Zamek w Pilicy,yes,8,42-436,fortress,emuia.gugik.gov.pl,0219566,,Pilica,Q9386705,,Partyzantów,,pl:Zamek w Pilicy,attraction,,,,,,,,,,15733,,EGiB,BDOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
865,way/254099319,POINT (15.576729249571851 51.12268565),15.576729249571851,51.12268565,castle,Pałacyk Rakowice Wielkie,apartments,4,59-600,manor,lwowekslaski.e-mapa.net,0190940,Rakowice Wielkie,,,bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
866,way/254099328,POINT (15.5690815 51.12791285),15.5690815,51.12791285,castle,Wieża Rycerska w Rakowicach Wielkich,yes,,,tower,,,,,,bing,,yes,,,,,3,1491,,,,,,,,,,,,medieval,,,,,,,,,,,half-hipped,,,,,red,,,wheat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,defensive,,,,,,,,,,,,,,,,,,,
867,way/254362446,POINT (18.500631046786292 51.872269),18.500631046786292,51.872269,manor,dwór z 1853 r.,yes,31,62-704,,kaweczyn.e-mapa.net,0285675,Żdżary,,Q9213436,,,2,pl:Dwór w Gozdowie,,nid,409/151,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
868,way/254373737,POINT (16.353379670541962 51.504907349999996),16.353379670541962,51.504907349999996,castle,Pałac Radomiłów,yes,23,,,,,Radomiłów,,,,,,,,,,,,,,,,,,,,,Schloss Thielau,,,,Pałac Radomiłów,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
869,way/254377483,POINT (16.15626669906313 51.356421),16.15626669906313,51.356421,castle,Pałac w Chróstniku,yes,59b,59-311,palace,gugik.gov.pl,0365210,Chróstnik,,Q11814933,http://magazyn.elubin.pl/palac-w-chrostniku-rekonstrukcje-i-odbudowy/,,,pl:Pałac w Chróstniku,,,,,,http://magazyn.elubin.pl/palac-w-chrostniku-rekonstrukcje-i-odbudowy/,,,,private,,,,,,File:SM_Chróstnik_pałac_(0)_ID_595597.jpg,,,,,,,,,,,,,,,,Dariusz Miłek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
870,way/254401458,POINT (20.138136434881844 53.747382),20.138136434881844,53.747382,castle,Dom Pomocy Społecznej w Grazymach,yes,1,11-036,stately,,,Grazymy,,,,,2,,,,648266,,,,,http://www.dpsgrazymy.pl/,,,,,,,,,,,,,,,,,,,nursing_home,,PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
